,OrigMID,ProsperRating,Term,CycleCounter,LoanAmount,AvgBorrowerRate,PrevUPB,UPB,ScheduledMonthlyPaymentAmount,ScheduledPeriodicPrin,ScheduledInterest,PrincipalPaid,FullPaydowns,VoluntaryExcessPrin,ExpectedPrinPaid,InterestPaid,SVC_Fees,TotalFees,CO_Balance,RecoveryPrinPaid,NetCO_FromSettlement,GrossCashFromDebtSale,NetCashToInvestorsFromDebtSale,DPD_1,DPD_16,DPD_31,DPD_61,DPD_91,CumulativeGrossLosses,CumulativeGrossLossesPct,CumulativeNetLosses,CumulativeNetLossesPct,FICO,Income
19487,201806,A,36,0,42141731,0.095983452,42141731,41819830.29,0,0,337075.732798158,321900.71,237000,84900.71,0,1725.2401,-191.8389,-191.8389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,98697
19488,201806,A,36,1,42141731,0.095983452,41819830.29,40542560.53,1344310.3,1009782.489778014,334527.810221986,1276906.81,187187.9712,121250.879,954747.8798,317606.29,-35431.18,-35398.41,0,0,0,0,0,0.002325486,0.000047459,0,0,0,0,0,0,0,715,98697
19489,201806,A,36,2,42141731,0.095983452,40542560.53,39128691.72,1336461.3,1012186.658863656,324274.641136344,1413506.84,292934.585,124584.4255,72449.1895,330528.03,-36857.78,-37067.94,0,0,0,0,0,0.003755961,0.002207143,0.001466167,0,0,0,0,0,0,715,98697
19490,201806,A,36,3,42141731,0.095983452,39128691.72,37880877.07,1326259.2,1012875.085196099,312922.090222243,1247449.74,273862.2623,55502.219,57264.6687,293080.91,-32683.55,-32883.03,0,0,0,0,0,0.009154621,0.004729897,0.002332629,0.001471226,0,0,0,0,0,715,98697
19491,201806,A,36,4,42141731,0.095983452,37880877.07,36415212.3,1315851.09,1012572.763178929,302995.329517058,1465293.24,338143.7884,64192.0724,90242.0892,319066.71,-35557.18,-36293.47,0,0,0,0,0,0.010673357,0.006331395,0.004508377,0.002101021,0.001471226,0,0,0,0,715,98697
19492,201806,A,36,5,42141731,0.095983452,36415212.3,34879841.97,1302202.8,1010728.8765367,291269.949196596,1472999.43,406920.7878,113748.7338,74743.3184,282341.1,-31499.96,-32108.38,62000,0,0,0,0,0.012466274,0.008620768,0.005379232,0.002175124,0.000613695,62000,0.001471226,62000,0.001471226,715,98697
19493,201806,A,36,6,42141731,0.095983452,34879841.97,33396529.19,1284328.62,1004009.686928772,279074.6113708,1424311.03,393951.8992,82354.4681,92985.1127,262423.98,-29231.98,-29927.32,58624.37,0,0,222.11,211,0.0140611,0.01015027,0.007711285,0.003551724,0.001109249,120624.37,0.00286235,120413.37,0.002857343,715,98697
19494,201806,A,36,7,42141731,0.095983452,33396529.19,31803476.93,1264593.27,996018.598831867,267177.934804993,1531080.01,363912.0204,125177.8881,83150.9215,289906.19,-32311.69,-33189.79,61595.26,0,0,3733.1271,3546.54,0.017615066,0.012104577,0.00922474,0.005735834,0.002090103,182219.63,0.004323971,178462.09,0.004234807,715,98697
19495,201806,A,36,8,42141731,0.095983452,31803476.93,30349781.67,1244717.51,989829.428619412,254406.345736072,1365614.71,381676.7195,100187.6552,80510.6253,234028.58,-26112.16,-27017.62,88080.55,0,0,3698.7,3513.76,0.018643945,0.013713231,0.010805961,0.006706539,0.002904493,270300.18,0.006414074,263028.88,0.00624153,715,98697
19496,201806,A,36,9,42141731,0.095983452,30349781.67,28765364.81,1224411.59,980234.637345665,242762.171715783,1432932.31,359179.5689,125776.488,829828.7831,228646.78,-25478.25,-26397.66,151484.55,0,0,9879.27,9385.3,0.022528359,0.015264164,0.011906728,0.006352411,0.002390339,421784.73,0.010008719,405128.13,0.009613467,715,98697
